"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","Area","2021","1000 ha","8051.00",""
"Afghanistan","Area","2020","1000 ha","8051.00",""
"Afghanistan","Area","2019","1000 ha","8010.00",""
"Afghanistan","Area","2018","1000 ha","8010.00",""
"Afghanistan","Area","2017","1000 ha","7910.00",""
"Afghanistan","Area","2016","1000 ha","7910.00",""
"Afghanistan","Area","2015","1000 ha","7910.00",""
"Afghanistan","Area","2014","1000 ha","7910.00",""
"Afghanistan","Area","2013","1000 ha","7910.00",""
"Afghanistan","Area","2012","1000 ha","7914.00",""
"Afghanistan","Area","2011","1000 ha","7915.00",""
"Afghanistan","Area","2010","1000 ha","7917.00",""
"Afghanistan","Area","2009","1000 ha","7916.00",""
"Afghanistan","Area","2008","1000 ha","7916.00",""
"Afghanistan","Area","2007","1000 ha","7914.00",""
"Afghanistan","Area","2006","1000 ha","7910.00",""
"Afghanistan","Area","2005","1000 ha","7917.00",""
"Afghanistan","Area","2004","1000 ha","7928.00",""
"Afghanistan","Area","2003","1000 ha","7884.00",""
"Afghanistan","Area","2002","1000 ha","7790.00",""
"Afghanistan","Area","2001","1000 ha","7795.00",""
"Afghanistan","Area","2000","1000 ha","7794.00",""
"Afghanistan","Area","1999","1000 ha","7764.00",""
"Afghanistan","Area","1998","1000 ha","7868.00",""
"Afghanistan","Area","1997","1000 ha","7795.00",""
"Afghanistan","Area","1996","1000 ha","7757.00",""
"Afghanistan","Area","1995","1000 ha","7763.00",""
"Afghanistan","Area","1994","1000 ha","7813.00",""
"Afghanistan","Area","1993","1000 ha","7934.00",""
"Afghanistan","Area","1992","1000 ha","8030.00",""
"Afghanistan","Area","1991","1000 ha","8030.00",""
"Afghanistan","Area","1990","1000 ha","8040.00",""
"Afghanistan","Area","1989","1000 ha","8040.00",""
"Afghanistan","Area","1988","1000 ha","8040.00",""
"Afghanistan","Area","1987","1000 ha","8045.00",""
"Afghanistan","Area","1986","1000 ha","8054.00",""
"Afghanistan","Area","1985","1000 ha","8054.00",""
"Afghanistan","Area","1984","1000 ha","8054.00",""
"Afghanistan","Area","1983","1000 ha","8054.00",""
"Afghanistan","Area","1982","1000 ha","8054.00",""
"Afghanistan","Area","1981","1000 ha","8053.00",""
"Afghanistan","Area","1980","1000 ha","8049.00",""
"Afghanistan","Area","1979","1000 ha","8049.00",""
"Afghanistan","Area","1978","1000 ha","8050.00",""
"Afghanistan","Area","1977","1000 ha","8050.00",""
"Afghanistan","Area","1976","1000 ha","8050.00",""
"Afghanistan","Area","1975","1000 ha","8050.30",""
"Afghanistan","Area","1974","1000 ha","8050.30",""
"Afghanistan","Area","1973","1000 ha","8049.20",""
"Afghanistan","Area","1972","1000 ha","8048.00",""
"Afghanistan","Area","1971","1000 ha","8036.00",""
"Afghanistan","Area","1970","1000 ha","8006.00",""
"Afghanistan","Area","1969","1000 ha","7996.00",""
"Afghanistan","Area","1968","1000 ha","7980.00",""
"Afghanistan","Area","1967","1000 ha","7979.00",""
"Afghanistan","Area","1966","1000 ha","7955.00",""
"Afghanistan","Area","1965","1000 ha","7910.00",""
"Afghanistan","Area","1964","1000 ha","7905.00",""
"Afghanistan","Area","1963","1000 ha","7850.00",""
"Afghanistan","Area","1962","1000 ha","7800.00",""
"Afghanistan","Area","1961","1000 ha","7750.00",""
"Afghanistan","Share in Agricultural land","2021","%","21.01",""
"Afghanistan","Share in Agricultural land","2020","%","21.01",""
"Afghanistan","Share in Agricultural land","2019","%","21.07",""
"Afghanistan","Share in Agricultural land","2018","%","21.07",""
"Afghanistan","Share in Agricultural land","2017","%","20.87",""
"Afghanistan","Share in Agricultural land","2016","%","20.87",""
"Afghanistan","Share in Agricultural land","2015","%","20.87",""
"Afghanistan","Share in Agricultural land","2014","%","20.87",""
"Afghanistan","Share in Agricultural land","2013","%","20.87",""
"Afghanistan","Share in Agricultural land","2012","%","20.87",""
"Afghanistan","Share in Agricultural land","2011","%","20.88",""
"Afghanistan","Share in Agricultural land","2010","%","20.88",""
"Afghanistan","Share in Agricultural land","2009","%","20.88",""
"Afghanistan","Share in Agricultural land","2008","%","20.88",""
"Afghanistan","Share in Agricultural land","2007","%","20.87",""
"Afghanistan","Share in Agricultural land","2006","%","20.87",""
"Afghanistan","Share in Agricultural land","2005","%","20.88",""
"Afghanistan","Share in Agricultural land","2004","%","20.90",""
"Afghanistan","Share in Agricultural land","2003","%","20.81",""
"Afghanistan","Share in Agricultural land","2002","%","20.61",""
"Afghanistan","Share in Agricultural land","2001","%","20.62",""
"Afghanistan","Share in Agricultural land","2000","%","20.62",""
"Afghanistan","Share in Agricultural land","1999","%","20.56",""
"Afghanistan","Share in Agricultural land","1998","%","20.78",""
"Afghanistan","Share in Agricultural land","1997","%","20.62",""
"Afghanistan","Share in Agricultural land","1996","%","20.54",""
"Afghanistan","Share in Agricultural land","1995","%","20.56",""
"Afghanistan","Share in Agricultural land","1994","%","20.66",""
"Afghanistan","Share in Agricultural land","1993","%","20.92",""
"Afghanistan","Share in Agricultural land","1992","%","21.11",""
"Afghanistan","Share in Agricultural land","1991","%","21.11",""
"Afghanistan","Share in Agricultural land","1990","%","21.14",""
"Afghanistan","Share in Agricultural land","1989","%","21.14",""
"Afghanistan","Share in Agricultural land","1988","%","21.14",""
"Afghanistan","Share in Agricultural land","1987","%","21.15",""
"Afghanistan","Share in Agricultural land","1986","%","21.16",""
"Afghanistan","Share in Agricultural land","1985","%","21.16",""
"Afghanistan","Share in Agricultural land","1984","%","21.16",""
"Afghanistan","Share in Agricultural land","1983","%","21.16",""
"Afghanistan","Share in Agricultural land","1982","%","21.16",""
"Afghanistan","Share in Agricultural land","1981","%","21.16",""
"Afghanistan","Share in Agricultural land","1980","%","21.15",""
"Afghanistan","Share in Agricultural land","1979","%","21.15",""
"Afghanistan","Share in Agricultural land","1978","%","21.16",""
"Afghanistan","Share in Agricultural land","1977","%","21.16",""
"Afghanistan","Share in Agricultural land","1976","%","21.16",""
"Afghanistan","Share in Agricultural land","1975","%","21.16",""
"Afghanistan","Share in Agricultural land","1974","%","21.16",""
"Afghanistan","Share in Agricultural land","1973","%","21.15",""
"Afghanistan","Share in Agricultural land","1972","%","21.15",""
"Afghanistan","Share in Agricultural land","1971","%","21.13",""
"Afghanistan","Share in Agricultural land","1970","%","21.07",""
"Afghanistan","Share in Agricultural land","1969","%","21.04",""
"Afghanistan","Share in Agricultural land","1968","%","21.01",""
"Afghanistan","Share in Agricultural land","1967","%","21.01",""
"Afghanistan","Share in Agricultural land","1966","%","20.96",""
"Afghanistan","Share in Agricultural land","1965","%","20.87",""
"Afghanistan","Share in Agricultural land","1964","%","20.85",""
"Afghanistan","Share in Agricultural land","1963","%","20.74",""
"Afghanistan","Share in Agricultural land","1962","%","20.63",""
"Afghanistan","Share in Agricultural land","1961","%","20.53",""
"Afghanistan","Share in Land area","2021","%","12.34",""
"Afghanistan","Share in Land area","2020","%","12.34",""
"Afghanistan","Share in Land area","2019","%","12.28",""
"Afghanistan","Share in Land area","2018","%","12.28",""
