"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"Albania","Area","2020","1000 ha","1.79",""
"Albania","Area","2019","1000 ha","1.73",""
"Albania","Area","2018","1000 ha","1.65",""
"Albania","Area","2017","1000 ha","1.58",""
"Albania","Area","2016","1000 ha","1.40",""
"Albania","Area","2015","1000 ha","1.24",""
"Albania","Area","2014","1000 ha","1.09",""
"Albania","Area","2013","1000 ha","1.01",""
"Armenia","Area","2021","1000 ha","367.26",""
"Armenia","Area","2020","1000 ha","366.48",""
"Armenia","Area","2019","1000 ha","367.20",""
"Armenia","Area","2018","1000 ha","367.20",""
"Armenia","Area","2017","1000 ha","367.70",""
"Armenia","Area","2016","1000 ha","368.70",""
"Armenia","Area","2015","1000 ha","369.00",""
"Armenia","Area","2014","1000 ha","368.70",""
"Armenia","Area","2013","1000 ha","368.00",""
"Australia","Area","2021","1000 ha","133.00",""
"Australia","Area","2020","1000 ha","76.00",""
"Australia","Area","2019","1000 ha","86.60",""
"Australia","Area","2018","1000 ha","85.30",""
"Australia","Area","2017","1000 ha","110.00",""
"Australia","Area","2016","1000 ha","143.00",""
"Australia","Area","2015","1000 ha","101.00",""
"Australia","Area","2014","1000 ha","81.00",""
"Australia","Area","2013","1000 ha","70.00",""
"Austria","Area","2020","1000 ha","30.51",""
"Bahrain","Area","2021","1000 ha","1.10",""
"Bahrain","Area","2020","1000 ha","1.10",""
"Bahrain","Area","2019","1000 ha","1.00",""
"Bahrain","Area","2018","1000 ha","0.80",""
"Canada","Area","2021","1000 ha","1439.00",""
"Canada","Area","2020","1000 ha","1463.40",""
"Canada","Area","2019","1000 ha","1487.80",""
"Canada","Area","2018","1000 ha","1512.20",""
"Canada","Area","2017","1000 ha","1536.60",""
"Canada","Area","2016","1000 ha","1561.00",""
"Canada","Area","2015","1000 ha","1692.00",""
"Canada","Area","2014","1000 ha","1823.00",""
"Canada","Area","2013","1000 ha","1954.00",""
"Chile","Area","2021","1000 ha","233.65",""
"Cyprus","Area","2021","1000 ha","0.49",""
"Cyprus","Area","2020","1000 ha","0.49",""
"Cyprus","Area","2019","1000 ha","0.30",""
"Cyprus","Area","2018","1000 ha","0.33",""
"Cyprus","Area","2017","1000 ha","0.35",""
"Cyprus","Area","2016","1000 ha","0.30",""
"Cyprus","Area","2015","1000 ha","0.50",""
"Cyprus","Area","2014","1000 ha","0.40",""
"Cyprus","Area","2013","1000 ha","0.40",""
"Denmark","Area","2021","1000 ha","0.00",""
"Denmark","Area","2020","1000 ha","0.00",""
"Denmark","Area","2019","1000 ha","0.00",""
"Denmark","Area","2018","1000 ha","0.38",""
"Denmark","Area","2017","1000 ha","0.40",""
"Denmark","Area","2016","1000 ha","0.39",""
"Denmark","Area","2015","1000 ha","0.44",""
"Denmark","Area","2014","1000 ha","0.37",""
"Denmark","Area","2013","1000 ha","0.42",""
"Faroe Islands","Area","2020","1000 ha","0.00",""
"Georgia","Area","2014","1000 ha","44.00",""
"Germany","Area","2020","1000 ha","6.00",""
"Germany","Area","2019","1000 ha","4.00",""
"Germany","Area","2018","1000 ha","4.00",""
"Germany","Area","2017","1000 ha","4.00",""
"Germany","Area","2016","1000 ha","4.00",""
"Germany","Area","2015","1000 ha","4.00",""
"Germany","Area","2014","1000 ha","4.00",""
"Greece","Area","2021","1000 ha","7.24",""
"Greece","Area","2020","1000 ha","7.24",""
"Greece","Area","2019","1000 ha","7.24",""
"Greece","Area","2018","1000 ha","6.17",""
"Greece","Area","2017","1000 ha","6.37",""
"Greece","Area","2016","1000 ha","6.00",""
"Greece","Area","2015","1000 ha","6.00",""
"Greece","Area","2014","1000 ha","6.00",""
"Greece","Area","2013","1000 ha","6.00",""
"Hungary","Area","2021","1000 ha","5.49",""
"Hungary","Area","2020","1000 ha","5.13",""
"Hungary","Area","2019","1000 ha","40.70",""
"Hungary","Area","2018","1000 ha","47.50",""
"Hungary","Area","2017","1000 ha","261.00",""
"Hungary","Area","2016","1000 ha","278.00",""
"Hungary","Area","2015","1000 ha","318.00",""
"Hungary","Area","2014","1000 ha","301.00",""
"Hungary","Area","2013","1000 ha","334.00",""
"Italy","Area","2020","1000 ha","1002.23",""
"Luxembourg","Area","2021","1000 ha","0.01",""
"Luxembourg","Area","2020","1000 ha","0.01",""
"Luxembourg","Area","2019","1000 ha","0.01",""
"Luxembourg","Area","2018","1000 ha","0.01",""
"Luxembourg","Area","2017","1000 ha","0.00",""
"Luxembourg","Area","2016","1000 ha","0.00",""
"Malaysia","Area","2021","1000 ha","15.50",""
"Malaysia","Area","2020","1000 ha","15.50",""
"Malaysia","Area","2019","1000 ha","15.50",""
"Malaysia","Area","2018","1000 ha","15.50",""
"Malta","Area","2021","1000 ha","2.00",""
"Malta","Area","2020","1000 ha","2.00",""
"Mongolia","Area","2021","1000 ha","88.90",""
"Mongolia","Area","2020","1000 ha","87.66",""
"Mongolia","Area","2019","1000 ha","103.50",""
"Mongolia","Area","2018","1000 ha","116.40",""
"Mongolia","Area","2017","1000 ha","116.56",""
"Mongolia","Area","2016","1000 ha","110.62",""
"Mongolia","Area","2015","1000 ha","74.35",""
"Mongolia","Area","2014","1000 ha","76.80",""
"Mongolia","Area","2013","1000 ha","71.41",""
"Morocco","Area","2019","1000 ha","87.90",""
"Morocco","Area","2018","1000 ha","87.90",""
"Morocco","Area","2017","1000 ha","87.90",""
"Morocco","Area","2016","1000 ha","87.90",""
"Niue","Area","2021","1000 ha","0.00",""
"Palestine","Area","2021","1000 ha","6.80",""
"Peru","Area","2013","1000 ha","230.00",""
"Poland","Area","2021","1000 ha","220.00",""
"Poland","Area","2020","1000 ha","220.00",""
"Poland","Area","2019","1000 ha","166.00",""
"Poland","Area","2018","1000 ha","157.00",""
"Poland","Area","2017","1000 ha","158.00",""
"Poland","Area","2016","1000 ha","169.00",""
"Poland","Area","2015","1000 ha","174.00",""
"Poland","Area","2014","1000 ha","134.00",""
"Poland","Area","2013","1000 ha","199.00",""
"Republic of Moldova","Area","2021","1000 ha","24.00",""
"Republic of Moldova","Area","2020","1000 ha","20.90",""
"Republic of Moldova","Area","2019","1000 ha","20.30",""
"Republic of Moldova","Area","2018","1000 ha","19.50",""
"Republic of Moldova","Area","2017","1000 ha","18.00",""
"Republic of Moldova","Area","2016","1000 ha","18.00",""
"Republic of Moldova","Area","2015","1000 ha","18.00",""
"Republic of Moldova","Area","2014","1000 ha","18.00",""
"Saudi Arabia","Area","2018","1000 ha","49.51",""
"Saudi Arabia","Area","2017","1000 ha","50.04",""
"Saudi Arabia","Area","2014","1000 ha","33.00",""
"Serbia","Area","2021","1000 ha","21.00",""
"Serbia","Area","2020","1000 ha","22.00",""
"Serbia","Area","2019","1000 ha","22.00",""
"Serbia","Area","2018","1000 ha","23.00",""
"Serbia","Area","2017","1000 ha","19.00",""
"Slovenia","Area","2021","1000 ha","4.32",""
"Slovenia","Area","2020","1000 ha","4.21",""
"Slovenia","Area","2019","1000 ha","4.20",""
"Slovenia","Area","2018","1000 ha","4.18",""
"Slovenia","Area","2017","1000 ha","4.18",""
"Slovenia","Area","2016","1000 ha","4.15",""
"Slovenia","Area","2015","1000 ha","4.17",""
"Slovenia","Area","2014","1000 ha","3.91",""
"Sri Lanka","Area","2021","1000 ha","17.00",""
"Sri Lanka","Area","2020","1000 ha","17.00",""
"Sri Lanka","Area","2019","1000 ha","16.73",""
"Sweden","Area","2020","1000 ha","128.00",""
"Sweden","Area","2019","1000 ha","128.00",""
"Sweden","Area","2018","1000 ha","127.00",""
"Sweden","Area","2017","1000 ha","127.00",""
"Switzerland","Area","2021","1000 ha","29.36",""
"Switzerland","Area","2020","1000 ha","29.21",""
"Switzerland","Area","2019","1000 ha","29.05",""
"Switzerland","Area","2018","1000 ha","28.91",""
"Switzerland","Area","2017","1000 ha","28.78",""
"Switzerland","Area","2016","1000 ha","28.60",""
"Switzerland","Area","2015","1000 ha","28.45",""
"Switzerland","Area","2014","1000 ha","28.29",""
"Switzerland","Area","2013","1000 ha","28.13",""
"Ukraine","Area","2021","1000 ha","581.00",""
"Ukraine","Area","2020","1000 ha","581.00",""
"Ukraine","Area","2019","1000 ha","581.00",""
"Ukraine","Area","2018","1000 ha","584.00",""
"Ukraine","Area","2017","1000 ha","586.00",""
"Ukraine","Area","2016","1000 ha","587.00",""
"Ukraine","Area","2015","1000 ha","587.00",""
"Ukraine","Area","2014","1000 ha","588.00",""
"Ukraine","Area","2013","1000 ha","588.00",""
"United Arab Emirates","Area","2021","1000 ha","20.54",""
"United Arab Emirates","Area","2020","1000 ha","19.83",""
"United Arab Emirates","Area","2019","1000 ha","19.86",""
"United Arab Emirates","Area","2018","1000 ha","19.83",""
"United Arab Emirates","Area","2017","1000 ha","0.66",""
"United Arab Emirates","Area","2016","1000 ha","0.72",""
"United Arab Emirates","Area","2015","1000 ha","0.14",""
"United Arab Emirates","Area","2014","1000 ha","0.56",""
"United Arab Emirates","Area","2013","1000 ha","0.43",""

