"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2017","14885.0","1","million cubic metres"
"Albania","2016","18270.0","1","million cubic metres"
"Albania","2015","14790.0","1","million cubic metres"
"Albania","2014","16956.0","1","million cubic metres"
"Albania","2013","14280.0","1","million cubic metres"
"Algeria","2015","66.8","","million cubic metres"
"Algeria","2014","66.8","","million cubic metres"
"Algeria","2013","66.8","","million cubic metres"
"Algeria","2012","307.0","","million cubic metres"
"Algeria","2011","307.0","","million cubic metres"
"Algeria","2010","307.0","","million cubic metres"
"Algeria","2009","307.0","","million cubic metres"
"Algeria","2008","307.0","","million cubic metres"
"Algeria","2007","307.0","","million cubic metres"
"Algeria","2006","307.0","","million cubic metres"
"Algeria","2005","276.0","","million cubic metres"
"Algeria","2004","276.0","","million cubic metres"
"Algeria","2003","276.0","","million cubic metres"
"Algeria","2002","245.0","","million cubic metres"
"Algeria","2001","245.0","","million cubic metres"
"Algeria","2000","50.0","","million cubic metres"
"Andorra","2019","44.3","","million cubic metres"
"Andorra","2018","42.9","","million cubic metres"
"Andorra","2017","37.0","","million cubic metres"
"Andorra","2016","39.0","","million cubic metres"
"Andorra","2015","25.4","","million cubic metres"
"Andorra","2014","33.5","","million cubic metres"
"Andorra","2013","31.7","","million cubic metres"
"Andorra","2012","20.1","","million cubic metres"
"Andorra","2011","16.4","","million cubic metres"
"Andorra","2010","26.3","","million cubic metres"
"Andorra","2009","27.0","","million cubic metres"
"Andorra","2008","29.9","","million cubic metres"
"Andorra","2007","12.8","","million cubic metres"
"Andorra","2006","15.9","","million cubic metres"
"Andorra","2005","19.0","","million cubic metres"
"Andorra","2004","18.6","","million cubic metres"
"Andorra","2003","28.3","","million cubic metres"
"Andorra","2002","33.2","","million cubic metres"
"Andorra","2001","24.5","","million cubic metres"
"Andorra","2000","30.2","","million cubic metres"
"Andorra","1999","29.9","","million cubic metres"
"Andorra","1998","18.4","","million cubic metres"
"Andorra","1997","25.5","","million cubic metres"
"Andorra","1996","44.9","","million cubic metres"
"Andorra","1995","24.5","","million cubic metres"
"Andorra","1990","28.7","","million cubic metres"
"Andorra","0","24.3","","million cubic metres"
"Argentina","0","342570.0","","million cubic metres"
"Armenia","2021","653.4","","million cubic metres"
"Armenia","2020","942.2","","million cubic metres"
"Armenia","2019","1303.0","","million cubic metres"
"Armenia","2018","632.0","","million cubic metres"
"Armenia","2017","710.0","","million cubic metres"
"Armenia","2016","798.0","","million cubic metres"
"Armenia","2015","763.0","","million cubic metres"
"Armenia","2014","471.0","","million cubic metres"
"Armenia","2013","842.0","","million cubic metres"
"Armenia","2012","641.0","","million cubic metres"
"Armenia","2011","773.0","","million cubic metres"
"Armenia","2010","1783.0","","million cubic metres"
"Armenia","2009","1294.0","","million cubic metres"
"Armenia","2008","901.0","","million cubic metres"
"Armenia","2007","1513.0","","million cubic metres"
"Armenia","2006","1157.0","","million cubic metres"
"Armenia","2005","1063.0","","million cubic metres"
"Armenia","2004","1546.0","","million cubic metres"
"Armenia","2003","1086.0","","million cubic metres"
"Armenia","2002","1062.0","","million cubic metres"
"Armenia","2001","557.0","","million cubic metres"
"Armenia","2000","641.0","","million cubic metres"
"Armenia","1995","1189.0","","million cubic metres"
"Armenia","0","940.0","","million cubic metres"
"Austria","0","29300.0","","million cubic metres"
"Azerbaijan","2021","11498.0","","million cubic metres"
"Azerbaijan","2020","9412.0","","million cubic metres"
"Azerbaijan","2019","11371.0","","million cubic metres"
"Azerbaijan","2018","14774.0","","million cubic metres"
"Azerbaijan","2017","12373.0","","million cubic metres"
"Azerbaijan","2016","14854.0","","million cubic metres"
"Azerbaijan","2015","14217.0","","million cubic metres"
"Azerbaijan","2014","13967.0","","million cubic metres"
"Azerbaijan","2013","14340.0","","million cubic metres"
"Azerbaijan","2012","15565.0","","million cubic metres"
"Azerbaijan","2011","20263.0","","million cubic metres"
"Azerbaijan","2010","23132.0","","million cubic metres"
"Azerbaijan","2009","16806.0","","million cubic metres"
