"Country or Territory","Station Name","WMO Station Number","National Station Id Number","Period","Element-Statistic Qualifier Code","Statistic Description","Unit","Jan","Jan Footnotes","Feb","Feb Footnotes","Mar","Mar Footnotes","Apr","Apr Footnotes","May","May Footnotes","Jun","Jun Footnotes","Jul","Jul Footnotes","Aug","Aug Footnotes","Sep","Sep Footnotes","Oct","Oct Footnotes","Nov","Nov Footnotes","Dec","Dec Footnotes","Annual","Annual Footnotes","Annual NCDC Computed Value","Annual NCDC Computed Value Footnotes"
"CANADA","NANAIMO A , BC","71890","01025370","1947-1990","","Mean Daily Value","mm","29.6","","26.4","","26.1","","17.5","","13.3","","12.6","","9.8","","12.1","","14.6","","25.0","","31.5","","37.1","","49.5","","-9999.9","1"
"CANADA","NANAIMO A , BC","71890","01025370","1947-1990","","Maximum Daily Value","mm","70.6","","66.5","","46.2","","58.7","","30.8","","29.9","","23.6","","50.3","","47.2","","91.7","","84.1","","74.4","","91.7","","-9999.9","1"
"CANADA","NANAIMO A , BC","71890","01025370","1947-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","196818","","199101","","198308","","196227","","198425","","198025","","194923","","199129","","195329","","196321","","195502","","197917","","-9999","","-9999",""
"CANADA","NANAIMO A , BC","71890","01025370","1947-1990","","Mean Monthly Value","mm","131.8","","111.0","","107.5","","59.6","","46.9","","39.4","","24.3","","30.0","","44.0","","100.8","","179.5","","170.2","","1045.0","","1045.0",""
"CANADA","NANAIMO A , BC","71890","01025370","1947-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","29","","-9999.9","1","-9999.9","1"
"CANADA","NANAIMO A , BC","71890","01025370","1947-1990","15","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","29","","29","","29","","-9999.9","1","-9999.9","1"
"CANADA","LYTTON , BC","71891","01114741","1970-1990","","Mean Daily Value","mm","17.8","","10.3","","11.9","","8.3","","6.9","","8.3","","7.3","","7.9","","11.3","","13.3","","16.6","","16.6","","30.9","","-9999.9","1"
"CANADA","LYTTON , BC","71891","01114741","1970-1990","","Maximum Daily Value","mm","60.5","","33.2","","26.1","","18.7","","20.1","","31.2","","34.3","","19.6","","27.9","","46.0","","43.2","","36.6","","60.5","","-9999.9","1"
"CANADA","LYTTON , BC","71891","01114741","1970-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","197415","","199101","","198909","","199103","","198015","","198004","","197106","","199129","","197221","","198222","","199012","","198203","","-9999","","-9999",""
"CANADA","LYTTON , BC","71891","01114741","1970-1990","","Mean Monthly Value","mm","34.4","","23.9","","27.6","","18.4","","17.6","","18.0","","14.2","","17.1","","26.2","","35.2","","48.1","","43.3","","324.2","","324.0",""
"CANADA","LYTTON , BC","71891","01114741","1970-1990","06","Number of Years used to Calculate Normal","mm","21","","21","","21","","21","","21","","21","","21","","21","","21","","21","","21","","21","","-9999.9","1","-9999.9","1"
"CANADA","LYTTON , BC","71891","01114741","1970-1990","15","Number of Years used to Calculate Normal","mm","20","","21","","21","","21","","21","","21","","21","","21","","21","","21","","21","","21","","-9999.9","1","-9999.9","1"
"CANADA","VANCOUVER INT'L A , BC","71892","01108447","1937-1990","","Mean Daily Value","mm","28.6","","26.0","","23.6","","18.4","","18.3","","16.0","","15.7","","13.9","","22.6","","25.9","","33.3","","34.4","","49.9","","-9999.9","1"
"CANADA","VANCOUVER INT'L A , BC","71892","01108447","1937-1990","","Maximum Daily Value","mm","68.3","","64.2","","49.3","","44.5","","29.0","","40.4","","45.2","","31.8","","49.5","","60.7","","65.0","","89.4","","89.4","","-9999.9","1"
"CANADA","VANCOUVER INT'L A , BC","71892","01108447","1937-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","196818","","198213","","197409","","194610","","199031","","194214","","197212","","199130","","195924","","197529","","198903","","197225","","-9999","","-9999",""
"CANADA","VANCOUVER INT'L A , BC","71892","01108447","1937-1990","","Mean Monthly Value","mm","131.6","","115.6","","105.4","","74.9","","61.7","","45.7","","36.1","","38.1","","64.4","","115.3","","167.2","","161.2","","1117.2","","1117.2",""
"CANADA","VANCOUVER INT'L A , BC","71892","01108447","1937-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","VANCOUVER INT'L A , BC","71892","01108447","1937-1990","15","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","COMOX A , BC","71893","01021830","1944-1990","","Mean Daily Value","mm","29.6","","26.2","","28.0","","16.9","","12.7","","12.8","","11.6","","13.2","","16.1","","30.7","","36.4","","40.1","","53.9","","-9999.9","1"
"CANADA","COMOX A , BC","71893","01021830","1944-1990","","Maximum Daily Value","mm","77.0","","80.2","","56.6","","40.9","","29.2","","30.5","","37.3","","69.1","","42.2","","59.4","","69.9","","113.0","","113.0","","-9999.9","1"
"CANADA","COMOX A , BC","71893","01021830","1944-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","196818","","198311","","197409","","195011","","197323","","194726","","197416","","195711","","197320","","195619","","199119","","195722","","-9999","","-9999",""
"CANADA","COMOX A , BC","71893","01021830","1944-1990","","Mean Monthly Value","mm","135.2","","110.8","","104.7","","57.4","","43.3","","36.2","","30.6","","36.1","","48.5","","129.8","","187.4","","171.3","","1091.4","","1091.3",""
"CANADA","COMOX A , BC","71893","01021830","1944-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","COMOX A , BC","71893","01021830","1944-1990","15","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","PRINCE GEORGE A , BC","71896","01096450","1942-1990","","Mean Daily Value","mm","3.1","","4.4","","4.9","","9.2","","13.8","","15.7","","15.5","","17.6","","15.1","","13.4","","6.6","","3.6","","25.5","","-9999.9","1"
"CANADA","PRINCE GEORGE A , BC","71896","01096450","1942-1990","","Maximum Daily Value","mm","12.4","","17.8","","18.0","","25.5","","24.9","","38.9","","28.2","","50.0","","33.3","","38.9","","24.9","","16.0","","50.0","","-9999.9","1"
"CANADA","PRINCE GEORGE A , BC","71896","01096450","1942-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","196029","","196202","","195731","","199024","","198413","","196006","","198313","","194804","","196424","","196203","","197201","","197616","","-9999","","-9999",""
"CANADA","PRINCE GEORGE A , BC","71896","01096450","1942-1990","","Mean Monthly Value","mm","5.3","","8.2","","12.0","","19.5","","49.2","","64.5","","60.0","","61.2","","58.6","","51.4","","16.6","","8.7","","415.2","","415.2",""
"CANADA","PRINCE GEORGE A , BC","71896","01096450","1942-1990","06","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","PRINCE GEORGE A , BC","71896","01096450","1942-1990","15","Number of Years used to Calculate Normal","mm","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","MCINNES ISLAND , BC","71897","01065010","1954-1990","","Mean Daily Value","mm","60.3","","41.9","","33.5","","36.5","","31.0","","31.0","","26.7","","32.9","","50.8","","64.4","","53.0","","47.4","","90.6","","-9999.9","1"
"CANADA","MCINNES ISLAND , BC","71897","01065010","1954-1990","","Maximum Daily Value","mm","319.0","","116.1","","79.5","","73.8","","71.4","","96.0","","62.2","","69.6","","103.6","","156.0","","122.2","","117.4","","319.0","","-9999.9","1"
"CANADA","MCINNES ISLAND , BC","71897","01065010","1954-1990","","Date (Year/Day) of Occurrence of Maximum Daily Value","mm","198426","","195712","","196016","","198414","","195907","","198711","","198824","","199125","","198005","","196216","","197512","","198406","","-9999","","-9999",""
"CANADA","MCINNES ISLAND , BC","71897","01065010","1954-1990","","Mean Monthly Value","mm","296.1","","223.1","","206.4","","185.0","","151.2","","125.5","","100.2","","137.1","","208.1","","344.3","","328.2","","273.0","","2578.3","","2578.2",""
"CANADA","MCINNES ISLAND , BC","71897","01065010","1954-1990","06","Number of Years used to Calculate Normal","mm","30","","29","","30","","30","","30","","30","","30","","30","","30","","30","","30","","30","","-9999.9","1","-9999.9","1"
"CANADA","MCINNES ISLAND , BC","71897","01065010","1954-1990","15","Number of Years used to Calculate Normal","mm","26","","29","","29","","30","","29","","29","","29","","28","","30","","29","","29","","29","","-9999.9","1","-9999.9","1"
"CANADA","PRINCE RUPERT A , BC","71898","01066481","1962-1990","","Mean Daily Value","mm","43.4","","37.4","","27.2","","37.6","","28.8","","28.0","","24.0","","39.9","","49.7","","56.9","","46.4","","41.2","","77.5","","-9999.9","1"
"CANADA","PRINCE RUPERT A , BC","71898","01066481","1962-1990","","Maximum Daily Value","mm","84.0","","95.0","","53.2","","98.6","","56.8","","64.2","","67.2","","87.6","","118.2","","107.8","","73.4","","93.2","","118.2","","-9999.9","1"
