"CROP_MASK","COUNTRY","ADM1_CODE","PROVINCE","YEAR","DATA","UNIT"
"Cropland","Cameroon",,"ALL","2022",6.18,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2021",6.19,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2020",4.23,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2019",0.70,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2018",4.12,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2017",4.58,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2016",3.07,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2015",10.38,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2014",2.19,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2013",1.77,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2012",3.84,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2011",3.93,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2010",3.43,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2009",1.77,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2008",0.69,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2007",2.92,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2006",1.54,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2005",2.42,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2004",30.96,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2003",20.71,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2002",10.50,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2001",0.67,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","2000",2.08,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","1999",0.00,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","1998",9.0e-03,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","1997",1.50,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","1996",1.17,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","1995",7.0e-03,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","1994",10.65,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","1993",1.28,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","1992",4.70,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","1991",23.14,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","1990",15.21,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","1989",3.14,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","1988",0.31,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","1987",17.67,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","1986",6.37,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","1985",11.76,"VHI % below 35 "
"Cropland","Cameroon",,"ALL","1984",22.88,"VHI % below 35 "
"Cropland","Cameroon",815,"Adamaoua","2022",0.81,"VHI % below 35 "
"Cropland","Cameroon",816,"Centre","2022",6.10,"VHI % below 35 "
"Cropland","Cameroon",817,"Est","2022",8.17,"VHI % below 35 "
"Cropland","Cameroon",818,"Extrême - Nord","2022",1.51,"VHI % below 35 "
"Cropland","Cameroon",819,"Littoral","2022",1.79,"VHI % below 35 "
"Cropland","Cameroon",820,"Nord","2022",14.44,"VHI % below 35 "
"Cropland","Cameroon",821,"Nord - Ouest","2022",0.52,"VHI % below 35 "
"Cropland","Cameroon",822,"Ouest","2022",2.09,"VHI % below 35 "
"Cropland","Cameroon",823,"Sud","2022",8.82,"VHI % below 35 "
"Cropland","Cameroon",824,"Sud - Ouest","2022",1.98,"VHI % below 35 "
"Cropland","Cameroon",815,"Adamaoua","2021",1.26,"VHI % below 35 "
"Cropland","Cameroon",816,"Centre","2021",9.48,"VHI % below 35 "
"Cropland","Cameroon",817,"Est","2021",7.83,"VHI % below 35 "
"Cropland","Cameroon",818,"Extrême - Nord","2021",2.50,"VHI % below 35 "
"Cropland","Cameroon",819,"Littoral","2021",10.28,"VHI % below 35 "
"Cropland","Cameroon",820,"Nord","2021",8.24,"VHI % below 35 "
"Cropland","Cameroon",821,"Nord - Ouest","2021",0.12,"VHI % below 35 "
"Cropland","Cameroon",822,"Ouest","2021",1.83,"VHI % below 35 "
"Cropland","Cameroon",823,"Sud","2021",10.73,"VHI % below 35 "
"Cropland","Cameroon",824,"Sud - Ouest","2021",5.82,"VHI % below 35 "
"Cropland","Cameroon",815,"Adamaoua","2020",0.93,"VHI % below 35 "
"Cropland","Cameroon",816,"Centre","2020",3.71,"VHI % below 35 "
"Cropland","Cameroon",817,"Est","2020",2.55,"VHI % below 35 "
