"CROP_MASK","COUNTRY","ADM1_CODE","PROVINCE","YEAR","DATA","UNIT"
"Cropland","Nigeria",,"ALL","2022",12.42,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2021",19.45,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2020",9.42,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2019",6.32,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2018",6.53,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2017",12.80,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2016",7.38,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2015",18.80,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2014",7.11,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2013",5.36,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2012",1.78,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2011",3.01,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2010",2.27,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2009",1.70,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2008",1.55,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2007",10.86,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2006",2.12,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2005",0.44,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2004",15.51,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2003",17.73,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2002",9.83,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2001",0.72,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","2000",2.72,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","1999",0.01,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","1998",7.0e-03,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","1997",3.01,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","1996",1.41,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","1995",0.46,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","1994",2.22,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","1993",0.41,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","1992",1.94,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","1991",25.35,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","1990",17.73,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","1989",7.16,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","1988",1.03,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","1987",38.50,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","1986",9.70,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","1985",18.16,"VHI % below 35 "
"Cropland","Nigeria",,"ALL","1984",25.94,"VHI % below 35 "
"Cropland","Nigeria",2211,"Adamawa","2022",48.53,"VHI % below 35 "
"Cropland","Nigeria",2212,"Akwa Ibom","2022",4.28,"VHI % below 35 "
"Cropland","Nigeria",2213,"Anambra","2022",1.04,"VHI % below 35 "
"Cropland","Nigeria",2215,"Benue","2022",2.60,"VHI % below 35 "
"Cropland","Nigeria",2216,"Borno","2022",7.44,"VHI % below 35 "
"Cropland","Nigeria",2217,"Cross River","2022",1.46,"VHI % below 35 "
"Cropland","Nigeria",2218,"Delta","2022",4.86,"VHI % below 35 "
"Cropland","Nigeria",2219,"Edo","2022",6.16,"VHI % below 35 "
"Cropland","Nigeria",2221,"Abuja","2022",63.18,"VHI % below 35 "
"Cropland","Nigeria",2222,"Imo","2022",3.73,"VHI % below 35 "
"Cropland","Nigeria",2223,"Jigawa","2022",0.59,"VHI % below 35 "
"Cropland","Nigeria",2224,"Kaduna","2022",7.01,"VHI % below 35 "
"Cropland","Nigeria",2225,"Kano","2022",0.86,"VHI % below 35 "
"Cropland","Nigeria",2226,"Katsina","2022",0.14,"VHI % below 35 "
"Cropland","Nigeria",2227,"Kebbi","2022",8.77,"VHI % below 35 "
"Cropland","Nigeria",2228,"Kogi","2022",5.51,"VHI % below 35 "
"Cropland","Nigeria",2229,"Kwara","2022",12.08,"VHI % below 35 "
"Cropland","Nigeria",2230,"Lagos","2022",11.60,"VHI % below 35 "
"Cropland","Nigeria",2231,"Niger","2022",27.46,"VHI % below 35 "
"Cropland","Nigeria",2232,"Ogun","2022",4.02,"VHI % below 35 "
"Cropland","Nigeria",2234,"Osun","2022",3.87,"VHI % below 35 "
"Cropland","Nigeria",2235,"Oyo","2022",2.57,"VHI % below 35 "
"Cropland","Nigeria",2239,"Taraba","2022",18.20,"VHI % below 35 "
"Cropland","Nigeria",2240,"Yobe","2022",6.13,"VHI % below 35 "
"Cropland","Nigeria",65698,"Abia","2022",2.61,"VHI % below 35 "
"Cropland","Nigeria",65699,"Bauchi","2022",25.88,"VHI % below 35 "
"Cropland","Nigeria",65700,"Bayelsa","2022",3.70,"VHI % below 35 "
"Cropland","Nigeria",65701,"Ebonyi","2022",0.80,"VHI % below 35 "
"Cropland","Nigeria",65702,"Ekiti","2022",4.22,"VHI % below 35 "
"Cropland","Nigeria",65703,"Enugu","2022",0.42,"VHI % below 35 "
"Cropland","Nigeria",65704,"Gombe","2022",31.54,"VHI % below 35 "
"Cropland","Nigeria",65705,"Nassarawa","2022",26.57,"VHI % below 35 "
"Cropland","Nigeria",65706,"Ondo","2022",4.13,"VHI % below 35 "
"Cropland","Nigeria",65707,"Plateau","2022",9.99,"VHI % below 35 "
"Cropland","Nigeria",65708,"Rivers","2022",14.76,"VHI % below 35 "
"Cropland","Nigeria",65709,"Sokoto","2022",0.17,"VHI % below 35 "
"Cropland","Nigeria",65710,"Zamfara","2022",0.37,"VHI % below 35 "
"Cropland","Nigeria",2211,"Adamawa","2021",31.03,"VHI % below 35 "
"Cropland","Nigeria",2212,"Akwa Ibom","2021",20.13,"VHI % below 35 "
"Cropland","Nigeria",2213,"Anambra","2021",13.27,"VHI % below 35 "
"Cropland","Nigeria",2215,"Benue","2021",8.91,"VHI % below 35 "
"Cropland","Nigeria",2216,"Borno","2021",3.73,"VHI % below 35 "
"Cropland","Nigeria",2217,"Cross River","2021",5.43,"VHI % below 35 "
"Cropland","Nigeria",2218,"Delta","2021",24.65,"VHI % below 35 "
"Cropland","Nigeria",2219,"Edo","2021",28.49,"VHI % below 35 "
"Cropland","Nigeria",2221,"Abuja","2021",77.44,"VHI % below 35 "
"Cropland","Nigeria",2222,"Imo","2021",9.91,"VHI % below 35 "
"Cropland","Nigeria",2223,"Jigawa","2021",2.41,"VHI % below 35 "
"Cropland","Nigeria",2224,"Kaduna","2021",14.13,"VHI % below 35 "
"Cropland","Nigeria",2225,"Kano","2021",3.22,"VHI % below 35 "
"Cropland","Nigeria",2226,"Katsina","2021",0.74,"VHI % below 35 "
"Cropland","Nigeria",2227,"Kebbi","2021",27.69,"VHI % below 35 "
"Cropland","Nigeria",2228,"Kogi","2021",12.87,"VHI % below 35 "
"Cropland","Nigeria",2229,"Kwara","2021",13.23,"VHI % below 35 "
"Cropland","Nigeria",2230,"Lagos","2021",27.85,"VHI % below 35 "
"Cropland","Nigeria",2231,"Niger","2021",37.76,"VHI % below 35 "
"Cropland","Nigeria",2232,"Ogun","2021",20.41,"VHI % below 35 "
"Cropland","Nigeria",2234,"Osun","2021",19.76,"VHI % below 35 "
"Cropland","Nigeria",2235,"Oyo","2021",13.00,"VHI % below 35 "
"Cropland","Nigeria",2239,"Taraba","2021",17.65,"VHI % below 35 "
"Cropland","Nigeria",2240,"Yobe","2021",5.05,"VHI % below 35 "
"Cropland","Nigeria",65698,"Abia","2021",8.40,"VHI % below 35 "
"Cropland","Nigeria",65699,"Bauchi","2021",40.59,"VHI % below 35 "
"Cropland","Nigeria",65700,"Bayelsa","2021",7.77,"VHI % below 35 "
"Cropland","Nigeria",65701,"Ebonyi","2021",8.24,"VHI % below 35 "
"Cropland","Nigeria",65702,"Ekiti","2021",28.73,"VHI % below 35 "
"Cropland","Nigeria",65703,"Enugu","2021",13.70,"VHI % below 35 "
"Cropland","Nigeria",65704,"Gombe","2021",31.83,"VHI % below 35 "
"Cropland","Nigeria",65705,"Nassarawa","2021",68.03,"VHI % below 35 "
"Cropland","Nigeria",65706,"Ondo","2021",24.20,"VHI % below 35 "
"Cropland","Nigeria",65707,"Plateau","2021",28.67,"VHI % below 35 "
"Cropland","Nigeria",65708,"Rivers","2021",22.09,"VHI % below 35 "
"Cropland","Nigeria",65709,"Sokoto","2021",2.11,"VHI % below 35 "
