,Country,Year,Area harvested (ha),Gross Production Index Number (2014-2016 = 100) (Index),Gross per capita Production Index Number (2014-2016 = 100) (Index),Production (t),Yield (100 g/ha),VHI % below 35,NDVI,Droughts,Extreme temperatures,Floods,Landslides,Storms,Total,Wildfires,Jason 1,Jason 2,Jason 3,Poseidon,Sea Level Trend,Aggregated Sea Level Index,Monthly Atmospheric Carbon Dioxide Concentrations,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Temperature Change,Continent
0,Angola,1961,1600.0,93.38,482.7,400.0,2500.0,5.740675675675675,,1.0,,,,,,,,,,,,,,,0.041,Africa
1,Angola,1962,2457.625,80.77612903225808,475.7,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,,,,,,,,,,,-0.152,Africa
2,Angola,1963,2457.625,70.03,351.78,338.89279999999997,2143.0,5.740675675675675,,1.0,,,,,,,,,,,,,,,-0.19,Africa
3,Angola,1964,2457.625,80.77612903225808,347.23,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,,,,,,,,,,,-0.229,Africa
4,Angola,1965,2457.625,80.77612903225808,457.86,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,,,,,,,,,,,-0.196,Africa
5,Angola,1966,2457.625,80.77612903225808,340.4,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,,,,,,,,,,,0.175,Africa
6,Angola,1967,2457.625,80.77612903225808,450.71,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,,,,,,,,,,,-0.081,Africa
7,Angola,1968,2457.625,116.72,559.48,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,,,,,,,,,,,-0.193,Africa
8,Angola,1969,2457.625,80.77612903225808,332.28,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,,,,,,,,,,,0.188,Africa
9,Angola,1970,2457.625,103.88,484.6,445.0,1113.0,5.740675675675675,,1.0,,,,,,,,,,,,,,,0.248,Africa
10,Angola,1971,2457.625,120.46,548.52,516.0,2457.0,5.740675675675675,,1.0,,,,,,,,,,,,,,,-0.097,Africa
11,Angola,1972,2457.625,140.06,619.0,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,,,,,,,,,,,-0.035,Africa
12,Angola,1973,2457.625,163.41,698.73,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,,,,,,,,,,,0.475,Africa
13,Angola,1974,2457.625,80.77612903225808,482.64,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,,,,,,,,,,,-0.158,Africa
14,Angola,1975,2457.625,80.77612903225808,466.84,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,,,,,,,,,,,-0.029,Africa
15,Angola,1976,2457.625,80.77612903225808,271.08,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,,,,,,,,,,,-0.313,Africa
16,Angola,1977,2457.625,80.77612903225808,262.24,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,,,,,,,,,,,0.272,Africa
17,Angola,1978,1900.0,46.69,168.98,338.89279999999997,1053.0,5.740675675675675,,1.0,,,,,,,,,,,,,,,0.037,Africa
18,Angola,1979,2457.625,80.77612903225808,163.28,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,,,,,,,,,,,0.291,Africa
19,Angola,1980,2457.625,80.77612903225808,157.65,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,,,,,,,,,,,0.279,Africa
20,Angola,1981,2457.625,80.77612903225808,152.15,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,1.0,,,,,,,,,,-0.071,Africa
21,Angola,1982,2457.625,80.77612903225808,146.78,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,,,,,,,,,,,0.164,Africa
22,Angola,1983,2457.625,80.77612903225808,141.57,338.89279999999997,1263.967741935484,5.740675675675675,,1.0,,,,,,,,,,,,,,,0.487,Africa
23,Angola,1984,2457.625,23.34,68.27,338.89279999999997,1263.967741935484,0.0,,1.0,,,,,,,,,,,,,,,0.631,Africa
24,Angola,1985,2457.625,80.77612903225808,65.86,338.89279999999997,1263.967741935484,0.84,,1.0,,,,,1.0,,,,,,,,,,0.694,Africa
25,Angola,1986,2457.625,80.77612903225808,63.55,338.89279999999997,1263.967741935484,1.7,,1.0,,,,,,,,,,,,,,,0.176,Africa
26,Angola,1987,2457.625,80.77612903225808,61.4,338.89279999999997,1263.967741935484,11.96,,1.0,,,,,,,,,,,,,,,0.689,Africa
27,Angola,1988,2457.625,80.77612903225808,59.37,338.89279999999997,1263.967741935484,0.01,,1.0,,,,,,,,,,,,,,,0.572,Africa
28,Angola,1989,2457.625,80.77612903225808,57.4,338.89279999999997,1263.967741935484,8.92,,1.0,,1.0,,,2.0,,,,,,,,,,-0.055,Africa
29,Angola,1990,1762.0,21.48,51.07,92.0,522.0,24.91,,1.0,,,,,,,,,,,,,,,0.687,Africa
30,Angola,1991,2471.0,46.01,105.83,197.09,1263.967741935484,6.66,,1.0,,,,,,,,,,,,,,,0.341,Africa
31,Angola,1992,2457.625,80.77612903225808,103.96,338.89279999999997,909.0,27.89,,1.0,,,,,,,,,,,,,,,0.466,Africa
32,Angola,1993,2586.0,80.77612903225808,100.72,338.89279999999997,773.0,4.39,,1.0,,,,,,,,,,,,,,,0.256,Africa
33,Angola,1994,2602.0,80.77612903225808,97.55,338.89279999999997,769.0,0.26,,1.0,,,,,,,,,,,,,,,0.212,Africa
34,Angola,1995,2605.0,80.77612903225808,94.4,338.89279999999997,768.0,4.41,,1.0,,,,,,,,,,,,,,,0.753,Africa
35,Angola,1996,2589.0,80.77612903225808,91.3,338.89279999999997,772.0,19.18,,1.0,,,,,,,,,,,,,,,0.37,Africa
36,Angola,1997,2320.0,38.95,73.67,166.85,719.0,4.28,,1.0,,,,,1.0,,,,,,,,,,0.107,Africa
37,Angola,1998,1848.0,33.94,62.13,145.41,1263.967741935484,4.12,,1.0,,,,,,,,,,,,,,,1.064,Africa
38,Angola,1999,2457.625,80.77612903225808,41.37,338.89279999999997,667.0,0.005,,1.0,,,,,,,,,,,,,,,0.417,Africa
39,Angola,2001,2083.0,46.42,77.06,198.83,955.0,0.39,,1.0,,2.0,,,3.0,,,,,,,,,,0.295,Africa
40,Angola,2002,2457.625,44.35,,338.89279999999997,905.0,2.24,,1.0,,1.0,,,1.0,,,,,,,,,,0.735,Africa
41,Angola,2003,2457.625,80.77612903225808,72.46,338.89279999999997,1263.967741935484,4.16,,1.0,,2.0,,,2.0,,,,,,,,,,0.889,Africa
42,Angola,2004,2158.0,51.85,77.7,222.12,1029.0,4.68,,1.0,,3.0,,,4.0,,,,,,,,,,0.414,Africa
43,Angola,2005,2266.0,56.45,81.63,241.81,1067.0,0.04,,1.0,,1.0,,,1.0,,,,,,,,,,1.021,Africa
44,Angola,2006,2457.625,62.06,86.59,265.87,1108.0,2.77,,1.0,,1.0,,,1.0,,,,,,,,,,0.561,Africa
45,Angola,2007,2457.625,69.42,93.39,297.38,1180.0,4.43,,1.0,,2.0,,,2.0,,,,,,,,,,0.885,Africa
46,Angola,2008,2578.0,73.87,95.79,316.45,1228.0,0.22,,1.0,,1.0,,,1.0,,,,,,,,,,0.501,Africa
47,Angola,2009,2632.0,80.77612903225808,97.91,335.6,1275.0,0.94,,1.0,,3.0,,,3.0,,,,,,,,,,0.708,Africa
48,Angola,2010,2682.0,82.71,99.57,354.29,1321.0,0.12,,1.0,,3.0,,,3.0,,,,,,,,,,1.194,Africa
49,Angola,2011,2457.625,86.89,100.75,372.2,1363.0,0.03,,1.0,,4.0,,,4.0,,,,,,,,,,0.88,Africa
50,Angola,2012,2457.625,80.77612903225808,104.28,338.89279999999997,1263.967741935484,11.49,,1.0,,,,,1.0,,,,,,,,,,0.552,Africa
51,Angola,2013,2457.625,95.71,102.96,410.0,1608.0,1.5,,1.0,,1.0,,,1.0,,,,,,,,,,1.044,Africa
52,Angola,2014,2726.0,97.62,101.22,418.19,1534.0,1.53,,1.0,,,,,,,,,,,,,,,0.828,Africa
53,Angola,2015,2838.0,100.08,100.08,428.72,1510.0,5.47,,1.0,,3.0,,,3.0,,,,,,,,,,1.331,Africa
54,Angola,2016,2705.0,102.3,98.7,438.21,1620.0,3.22,,1.0,,4.0,,,4.0,,,,,,,,,,1.609,Africa
55,Angola,2017,2757.0,104.51,97.31,447.67,1624.0,1.36,,1.0,,1.0,,,2.0,,,,,,,,,,0.87,Africa
56,Angola,2018,2874.0,102.29,92.01,438.2,1525.0,0.94,,1.0,,1.0,,,1.0,,,,,,,,,,1.395,Africa
57,Angola,2019,2779.0,103.03,89.58,441.36,1588.0,20.39,,1.0,,3.0,,,3.0,,,,,,,,,,1.752,Africa
58,Angola,2020,2803.0,103.28,,442.41,1578.0,1.0,,1.0,,2.0,,,3.0,,,,,,,,,,1.162,Africa
59,Angola,2021,2819.0,102.87,83.86,440.66,1263.967741935484,25.95,,1.0,,2.0,,,2.0,,,,,,,,,,1.553,Africa
60,Belize,1961,80.0,22.0,84.48,17.0,2125.0,1.8313157894736842,,,,,,,,,,,,,,,,,-0.001,North America
61,Belize,1962,10.0,2.59,9.69,2.0,3081.757575757576,1.8313157894736842,,,,,,,,,,,,,,,,,-0.137,North America
62,Belize,1963,240.0,75.05,273.34,58.0,2417.0,1.8313157894736842,,,,,,,,,,,,,,,,,-0.06,North America
63,Belize,1964,210.0,64.7,228.9,50.0,2381.0,1.8313157894736842,,,,,,,,,,,,,,,,,-0.055,North America
64,Belize,1965,220.0,71.17,244.42,55.0,3081.757575757576,1.8313157894736842,,,,,,,,,,,,,,,,,-0.105,North America
65,Belize,1966,314.93333333333334,25.88,86.23,84.30736842105264,3081.757575757576,1.8313157894736842,,,,,,,,,,,,,,,,,-0.195,North America
66,Belize,1967,314.93333333333334,32.35,104.55,84.30736842105264,3081.757575757576,1.8313157894736842,,,,,,,,,,,,,,,,,-0.297,North America
67,Belize,1968,314.93333333333334,45.29,142.01,84.30736842105264,2333.0,1.8313157894736842,,,,,,,,,,,,,,,,,-0.205,North America
68,Belize,1969,314.93333333333334,15.53,47.32,84.30736842105264,3081.757575757576,1.8313157894736842,,,,,,,,,,,,,,,,,0.26,North America
69,Belize,1970,314.93333333333334,83.71205128205128,65.51,84.30736842105264,3081.757575757576,1.8313157894736842,,,,,,,,,,,,,,,,,-0.21,North America
70,Belize,1972,314.93333333333334,83.71205128205128,93.14,84.30736842105264,3081.757575757576,1.8313157894736842,,,,,,,,,,,,,,,,,0.442,North America
71,Belize,1973,314.93333333333334,47.88,135.87,37.0,2467.0,1.8313157894736842,,,,,,,,,,,,,,,,,0.347,North America
72,Belize,1974,314.93333333333334,51.76,144.89,84.30736842105264,3081.757575757576,1.8313157894736842,,,,,,,,,,,,,,,,,0.101,North America
73,Belize,1975,314.93333333333334,54.35,149.6,84.30736842105264,2471.0,1.8313157894736842,,,,,,,,,,,,,,,,,-0.059,North America
74,Belize,1976,314.93333333333334,83.71205128205128,146.61,84.30736842105264,3081.757575757576,1.8313157894736842,,,,,,,,,,,,,,,,,-0.416,North America
75,Belize,1977,314.93333333333334,58.23,153.95,84.30736842105264,3081.757575757576,1.8313157894736842,,,,,,,,,,,,,,,,,0.134,North America
76,Belize,1978,314.93333333333334,83.71205128205128,150.91,84.30736842105264,3081.757575757576,1.8313157894736842,,,,,,,,,,,,,,,,,-0.025,North America
77,Belize,1979,314.93333333333334,83.71205128205128,147.83,84.30736842105264,3081.757575757576,1.8313157894736842,,,,,,,,,,,,,,,,,0.524,North America
78,Belize,1980,314.93333333333334,56.94,141.25,44.0,2588.0,1.8313157894736842,,,,,,,,,,,,,,,,,0.576,North America
79,Belize,1981,314.93333333333334,83.71205128205128,137.8,84.30736842105264,3081.757575757576,1.8313157894736842,,,,,,,,,,,,,,,,,-0.068,North America
80,Belize,1982,145.0,83.71205128205128,128.39,84.30736842105264,3081.757575757576,1.8313157894736842,,,,,,,,,,,,,,,,,0.526,North America
