Indicator,Country,ADM1_CODE,Province,Land_Type,Date,Data,Data_long_term_Average,Year,Month,Dekad,Unit,Source
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-06-11,123.655,70.313, 1995,06,2,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-06-21,50.113,68.933, 1995,06,3,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-07-01,35.395,43.015, 1995,07,1,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-07-11,8.143,30.093, 1995,07,2,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-07-21,34.84,14.494, 1995,07,3,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-08-01,12.961,9.905, 1995,08,1,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-08-11,25.797,15.83, 1995,08,2,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-08-21,26.52,14.377, 1995,08,3,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-09-01,26.311,14.073, 1995,09,1,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-09-11,41.966,22.364, 1995,09,2,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-09-21,37.215,36.192, 1995,09,3,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-10-01,7.895,40.369, 1995,10,1,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-10-11,42.084,42.79, 1995,10,2,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-10-21,78.043,43.525, 1995,10,3,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-11-01,82.649,40.09, 1995,11,1,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-11-11,14.999,41.093, 1995,11,2,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-11-21,25.541,37.482, 1995,11,3,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-12-01,41.368,28.712, 1995,12,1,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-12-11,12.166,13.929, 1995,12,2,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1995-12-21,30.218,12.345, 1995,12,3,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1996-01-01,11.608,13.321, 1996,01,1,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1996-01-11,7.502,9.483, 1996,01,2,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1996-01-21,1.467,12.966, 1996,01,3,MM ,FEWSNet RFE
RS-Based Estimated Precipitation,Côte d'Ivoire,190430,Bas Sassandra,Crop Area,1996-02-01,34.667,18.394, 1996,02,1,MM ,FEWSNet RFE
