"Country or Area","Year","Value","Value Footnotes","Unit"
"Albania","2017","150.7","","1000 cubic metres/day"
"Albania","2016","147.9","","1000 cubic metres/day"
"Albania","2015","147.9","","1000 cubic metres/day"
"Albania","2014","147.9","","1000 cubic metres/day"
"Algeria","1998","66.3","","1000 cubic metres/day"
"Algeria","1996","55.8","1","1000 cubic metres/day"
"Algeria","1995","48.3","","1000 cubic metres/day"
"Algeria","1990","47.9","","1000 cubic metres/day"
"Andorra","2019","55.3","","1000 cubic metres/day"
"Andorra","2018","55.4","","1000 cubic metres/day"
"Andorra","2017","51.6","","1000 cubic metres/day"
"Andorra","2016","53.3","","1000 cubic metres/day"
"Andorra","2015","54.8","","1000 cubic metres/day"
"Andorra","2014","54.9","","1000 cubic metres/day"
"Andorra","2013","57.0","","1000 cubic metres/day"
"Andorra","2012","51.4","","1000 cubic metres/day"
"Andorra","2011","46.4","","1000 cubic metres/day"
"Andorra","2010","48.1","","1000 cubic metres/day"
"Andorra","2009","47.7","","1000 cubic metres/day"
"Andorra","2008","47.7","","1000 cubic metres/day"
"Andorra","2007","47.0","","1000 cubic metres/day"
"Andorra","2006","46.0","","1000 cubic metres/day"
"Andorra","2005","44.4","","1000 cubic metres/day"
"Andorra","2004","43.4","","1000 cubic metres/day"
"Andorra","2003","40.9","","1000 cubic metres/day"
"Andorra","2002","38.0","","1000 cubic metres/day"
"Andorra","2001","37.5","","1000 cubic metres/day"
"Andorra","2000","37.1","","1000 cubic metres/day"
"Andorra","1999","37.3","","1000 cubic metres/day"
"Andorra","1998","37.3","","1000 cubic metres/day"
"Antigua and Barbuda","2021","6.7","","1000 cubic metres/day"
"Antigua and Barbuda","2020","6.7","","1000 cubic metres/day"
"Armenia","2019","2184.1","","1000 cubic metres/day"
"Armenia","2018","1677.0","","1000 cubic metres/day"
"Armenia","2017","1509.0","","1000 cubic metres/day"
"Armenia","2016","2108.8","","1000 cubic metres/day"
"Armenia","2015","2221.0","","1000 cubic metres/day"
"Armenia","2014","2319.0","","1000 cubic metres/day"
"Armenia","2013","2569.0","","1000 cubic metres/day"
"Armenia","2012","2228.0","","1000 cubic metres/day"
"Armenia","2011","2056.0","","1000 cubic metres/day"
"Armenia","2010","1179.0","","1000 cubic metres/day"
"Armenia","2009","984.0","","1000 cubic metres/day"
"Armenia","2008","1023.0","","1000 cubic metres/day"
"Armenia","2007","808.0","","1000 cubic metres/day"
"Armenia","2006","830.0","","1000 cubic metres/day"
"Armenia","2005","930.0","","1000 cubic metres/day"
"Armenia","2004","949.0","","1000 cubic metres/day"
"Armenia","2003","957.0","","1000 cubic metres/day"
"Armenia","2002","650.0","","1000 cubic metres/day"
"Armenia","2001","570.0","","1000 cubic metres/day"
"Armenia","2000","1027.0","","1000 cubic metres/day"
"Armenia","1999","992.0","","1000 cubic metres/day"
"Armenia","1998","1726.0","","1000 cubic metres/day"
"Armenia","1997","1699.0","","1000 cubic metres/day"
"Armenia","1996","1732.0","","1000 cubic metres/day"
"Armenia","1995","1742.0","","1000 cubic metres/day"
"Armenia","1990","2082.0","","1000 cubic metres/day"
"Austria","2016","6575.3","","1000 cubic metres/day"
"Austria","2014","6564.3","","1000 cubic metres/day"
"Austria","2012","6463.0","","1000 cubic metres/day"
"Austria","2010","6580.8","","1000 cubic metres/day"
"Austria","2008","6443.8","","1000 cubic metres/day"
"Austria","2006","6561.6","","1000 cubic metres/day"
"Austria","2004","6454.7","","1000 cubic metres/day"
"Azerbaijan","2021","1210.7","","1000 cubic metres/day"
"Azerbaijan","2020","1308.9","","1000 cubic metres/day"
"Azerbaijan","2019","1316.1","","1000 cubic metres/day"
"Azerbaijan","2018","1288.3","","1000 cubic metres/day"
"Azerbaijan","2017","1119.2","","1000 cubic metres/day"
"Azerbaijan","2016","1167.8","","1000 cubic metres/day"
"Azerbaijan","2015","1200.2","","1000 cubic metres/day"
"Azerbaijan","2014","1299.1","","1000 cubic metres/day"
"Azerbaijan","2013","1297.1","","1000 cubic metres/day"
"Bahrain","2021","464.5","","1000 cubic metres/day"
"Bahrain","2020","465.9","","1000 cubic metres/day"
"Bahrain","2019","430.8","","1000 cubic metres/day"
"Bahrain","2018","437.1","","1000 cubic metres/day"
