"CROP_MASK","COUNTRY","ADM1_CODE","PROVINCE","YEAR","DATA","UNIT"
"Cropland","Côte d'Ivoire",,"ALL","2022",0.59,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2021",0.55,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2020",0.54,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2019",0.58,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2018",0.58,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2017",0.51,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2016",0.48,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2015",0.49,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2014",0.58,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2013",0.54,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2012",0.58,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2011",0.61,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2010",0.53,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2009",0.59,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2008",0.60,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2007",0.48,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2006",0.53,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2005",0.54,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2004",0.36,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2003",0.41,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2002",0.51,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2001",0.52,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","2000",0.41,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","1999",0.66,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","1998",0.60,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","1997",0.62,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","1996",0.64,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","1995",0.68,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","1994",0.39,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","1993",0.51,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","1992",0.48,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","1991",0.60,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","1990",0.43,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","1989",0.45,"Mean VHI[0-1]"
"Cropland","Côte d'Ivoire",,"ALL","1988",0.43,"Mean VHI[0-1]"
