"CROP_MASK","COUNTRY","ADM1_CODE","PROVINCE","YEAR","DATA","UNIT"
"Cropland","Cameroon",,"ALL","2022",0.54,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2021",0.53,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2020",0.55,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2019",0.61,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2018",0.55,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2017",0.51,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2016",0.54,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2015",0.46,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2014",0.54,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2013",0.57,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2012",0.55,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2011",0.52,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2010",0.54,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2009",0.52,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2008",0.56,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2007",0.51,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2006",0.51,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2005",0.51,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2004",0.40,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2003",0.45,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2002",0.46,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2001",0.53,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","2000",0.52,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","1999",0.67,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","1998",0.61,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","1997",0.56,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","1996",0.59,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","1995",0.59,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","1994",0.52,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","1993",0.51,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","1992",0.49,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","1991",0.43,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","1990",0.44,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","1989",0.48,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","1988",0.53,"Mean VHI[0-1]"
"Cropland","Cameroon",,"ALL","1987",0.42,"Mean VHI[0-1]"
