"CROP_MASK","COUNTRY","ADM1_CODE","PROVINCE","YEAR","DATA","UNIT"
"Cropland","Ghana",,"ALL","2022",2.18,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2021",9.87,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2020",6.55,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2019",2.35,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2018",2.78,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2017",5.36,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2016",7.97,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2015",8.68,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2014",2.78,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2013",4.89,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2012",1.60,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2011",2.06,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2010",1.21,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2009",0.32,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2008",0.40,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2007",5.76,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2006",1.68,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2005",1.84,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2004",39.78,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2003",12.67,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2002",1.71,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2001",1.41,"VHI % below 35 "
"Cropland","Ghana",,"ALL","2000",13.76,"VHI % below 35 "
"Cropland","Ghana",,"ALL","1999",0.40,"VHI % below 35 "
"Cropland","Ghana",,"ALL","1998",0.38,"VHI % below 35 "
"Cropland","Ghana",,"ALL","1997",0.08,"VHI % below 35 "
"Cropland","Ghana",,"ALL","1996",0.04,"VHI % below 35 "
"Cropland","Ghana",,"ALL","1995",0.10,"VHI % below 35 "
"Cropland","Ghana",,"ALL","1994",17.47,"VHI % below 35 "
"Cropland","Ghana",,"ALL","1993",1.93,"VHI % below 35 "
"Cropland","Ghana",,"ALL","1992",3.42,"VHI % below 35 "
"Cropland","Ghana",,"ALL","1991",2.70,"VHI % below 35 "
"Cropland","Ghana",,"ALL","1990",10.77,"VHI % below 35 "
"Cropland","Ghana",,"ALL","1989",8.30,"VHI % below 35 "
"Cropland","Ghana",,"ALL","1988",5.21,"VHI % below 35 "
"Cropland","Ghana",,"ALL","1987",31.03,"VHI % below 35 "
"Cropland","Ghana",,"ALL","1986",5.27,"VHI % below 35 "
"Cropland","Ghana",,"ALL","1985",14.54,"VHI % below 35 "
"Cropland","Ghana",,"ALL","1984",2.24,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2022",2.83,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2022",0.87,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2022",1.60,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2022",0.77,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2022",11.77,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2022",4.52,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2022",0.94,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2022",3.61,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2022",0.41,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2022",1.23,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2021",14.00,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2021",9.05,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2021",10.23,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2021",4.00,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2021",55.55,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2021",12.05,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2021",0.41,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2021",1.14,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2021",6.67,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2021",10.45,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2020",12.22,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2020",8.31,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","2020",6.11,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","2020",5.82,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","2020",29.89,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","2020",2.72,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","2020",0.23,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","2020",4.68,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","2020",2.96,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","2020",6.25,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","2019",4.36,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","2019",1.97,"VHI % below 35 "
