"CROP_MASK","COUNTRY","ADM1_CODE","PROVINCE","YEAR","DATA","UNIT"
"Cropland","Ghana",,"ALL","2022",0.59,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2021",0.49,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2020",0.51,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2019",0.56,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2018",0.54,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2017",0.50,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2016",0.48,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2015",0.47,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2014",0.52,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2013",0.51,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2012",0.53,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2011",0.55,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2010",0.54,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2009",0.57,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2008",0.56,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2007",0.48,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2006",0.50,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2005",0.51,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2004",0.37,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2003",0.46,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2002",0.52,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2001",0.50,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","2000",0.45,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","1999",0.64,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","1998",0.63,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","1997",0.65,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","1996",0.64,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","1995",0.65,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","1994",0.44,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","1993",0.51,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","1992",0.48,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","1991",0.55,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","1990",0.44,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","1989",0.45,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","1988",0.48,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","1987",0.38,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","1986",0.47,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","1985",0.45,"Mean VHI[0-1]"
"Cropland","Ghana",,"ALL","1984",0.53,"Mean VHI[0-1]"
"Cropland","Ghana",1324,"Ashanti","2022",0.62,"Mean VHI[0-1]"
"Cropland","Ghana",1325,"Brong Ahafo","2022",0.59,"Mean VHI[0-1]"
"Cropland","Ghana",1326,"Central","2022",0.61,"Mean VHI[0-1]"
"Cropland","Ghana",1327,"Eastern","2022",0.63,"Mean VHI[0-1]"
"Cropland","Ghana",1328,"Greater Accra","2022",0.51,"Mean VHI[0-1]"
"Cropland","Ghana",1329,"Northern","2022",0.53,"Mean VHI[0-1]"
"Cropland","Ghana",1330,"Upper East","2022",0.58,"Mean VHI[0-1]"
"Cropland","Ghana",1331,"Upper West","2022",0.52,"Mean VHI[0-1]"
"Cropland","Ghana",1332,"Volta","2022",0.67,"Mean VHI[0-1]"
"Cropland","Ghana",1333,"Western","2022",0.59,"Mean VHI[0-1]"
"Cropland","Ghana",1324,"Ashanti","2021",0.47,"Mean VHI[0-1]"
"Cropland","Ghana",1325,"Brong Ahafo","2021",0.50,"Mean VHI[0-1]"
"Cropland","Ghana",1326,"Central","2021",0.46,"Mean VHI[0-1]"
"Cropland","Ghana",1327,"Eastern","2021",0.52,"Mean VHI[0-1]"
"Cropland","Ghana",1328,"Greater Accra","2021",0.32,"Mean VHI[0-1]"
"Cropland","Ghana",1329,"Northern","2021",0.47,"Mean VHI[0-1]"
"Cropland","Ghana",1330,"Upper East","2021",0.58,"Mean VHI[0-1]"
"Cropland","Ghana",1331,"Upper West","2021",0.52,"Mean VHI[0-1]"
"Cropland","Ghana",1332,"Volta","2021",0.53,"Mean VHI[0-1]"
