"CROP_MASK","COUNTRY","ADM1_CODE","PROVINCE","YEAR","DATA","UNIT"
"Cropland","Nigeria",,"ALL","2022",0.55,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2021",0.49,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2020",0.56,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2019",0.54,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2018",0.55,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2017",0.49,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2016",0.53,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2015",0.45,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2014",0.50,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2013",0.52,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2012",0.56,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2011",0.51,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2010",0.56,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2009",0.53,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2008",0.54,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2007",0.46,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2006",0.50,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2005",0.53,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2004",0.44,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2003",0.46,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2002",0.46,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2001",0.54,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","2000",0.55,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","1999",0.69,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","1998",0.65,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","1997",0.58,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","1996",0.58,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","1995",0.57,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","1994",0.56,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","1993",0.53,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","1992",0.51,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","1991",0.43,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","1990",0.43,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","1989",0.49,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","1988",0.54,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","1987",0.39,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","1986",0.45,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","1985",0.42,"Mean VHI[0-1]"
"Cropland","Nigeria",,"ALL","1984",0.43,"Mean VHI[0-1]"
